Description,Title
Many many thanks.I received my product with in due time.I'm very happy and satisfied with your service.READ MORE,Great product
Nice servicesREAD MORE,Terrific
Awsm mobile and fast & ontime deliveryREAD MORE,Just wow!
I am forward my complaint but flipkart rejected my complaint. This is my bad experiance.READ MORE,Very poor
Thanks n good service.READ MORE,Awesome
"Very good and fast delivery , thanks Delivery Bro.READ MORE",Great product
Delivery was very fast and the packaging was quite safe..... Received in good condition...Will buy from this seller againREAD MORE,Perfect product!
i received a damaged product.i ask for a replacement.flipkart is not responding to me.so pls don`t be fool.Think before you buy anything from flipkart.READ MORE,received a damaged product
Amazing delivery serviceREAD MORE,Just wow!
Delivery excellence .Flip kart as does alwaysREAD MORE,Worthy
Friendly convenient Delivery.READ MORE,Best in the market!
But delivery is fastREAD MORE,heating issue....just quad core in 11k segment
On time delivery and good response from the delivery boy....READ MORE,Best Quality
where is my smartphone bill copy?READ MORE,bill copy
On time deliveredREAD MORE,Great product
"Nice delivari,but the box have no cover,please give cover....READ MORE",Good
Bad deliverREAD MORE,Unsatisfactory
Nice serviceREAD MORE,Highly recommended
Great service from flipkart it was very amazing deliveryREAD MORE,Awesome
Very good delivery boyREAD MORE,good delivery
very nice product and very fast delivery by flipkart..thank uREAD MORE,Terrific purchase
Nice phone and very fast delivery Thanks fkREAD MORE,Very Good
bakwas service of flip kart i hate flip kart serviceREAD MORE,Highly recommended
Safe delivery fully satisfied with product keep it up gud job thnks flipkartREAD MORE,Excellent
On time deliveryREAD MORE,Super!
"Very bad experience with flipkart. Fraud business doing flipkart. They just we order j5 2016, 16 Gb. But they sent 8Gb mobile. Now i asked the same they are not responding and not replaced. Please do buy any product in flipkart just they doing all fraud business.. all sellers of flipkart are fraud. I lost my rs.11000 please don't lost you also. Be aware of of flipkart.READ MORE",Worthless
The product was well packed and sent. The item was a gift to my relative and he was very happy to receive it. It is said to be a wonderful phone.READ MORE,Perfect gift
Very very very poor service. This is my last purchase from poor service(flipkart) company.READ MORE,Did not meet expectations
So smart in deliveryREAD MORE,Good quality product
Not delivered. Flipkart cancel my order.READ MORE,Really Nice
Good service with good productREAD MORE,Good quality product
I bought Gold color and they delivered me black oneREAD MORE,Waste of money!
Fantastic phone from samsung and good job by flipkart delivered at right time and in right conditionREAD MORE,Excellent
Please help me newREAD MORE,Simply awesome
Worst decision to shop on Flipkart. Did not receive cash back on phone.READ MORE,Unsatisfactory
thnq 2 flipkart .. for changing my mobile .READ MORE,thnkss
At order Flipkart mentioned delivery in 7 to 8 days as it is in remote area but they delivered in just 3 daysREAD MORE,Awesome phone and fast delivery by Flipkart
Very quick services and product is genuine.READ MORE,Very Good
"Best packing, best delivery time, best product, love flipkart for this, thanks. Give offers for your valuable customers, thanksREAD MORE",Best of all
These people delayed the shipment and then delivered empty box . now everyday they are saying wait for 24 hours . I made a big mistake by shopping from them.16/03/2017- Its more then 10 days that these people are asking me daily to wait for 24 hours . they are not giving any solution instead they are keep on telling me that they are working on this. These people cheat there customers .Please don't buy anything from them . I've given them money neither I got product nor they are ready to ref...READ MORE,Empty box delivered
It is delivered on timeREAD MORE,Nice product
Disappointed with long delay of delivery. We had to approach them to receive the phone.READ MORE,Terrible product
Mobile is okk. But flipkart have not any return policy after delivery. Not satisfied.READ MORE,Biggest mistake of my life!
Awsome delivery. Can't even have words to say.appreciate  u flipkartREAD MORE,J5 -6
Fast delivery and packing r goodREAD MORE,Value-for-money
Flipkart service is goodREAD MORE,Faced minor issues
Very good Service and satisfy replacement service.READ MORE,Wonderful
fast delivery and awsm mobile as samsungREAD MORE,Pretty good
Great serviceREAD MORE,Worth every penny
Good servicesREAD MORE,Wonderful
flipkart are selling fake itea. headphone was not available in packging and also facing over heating and hanging issue much more on normal usages even but flipkart didn't provide me replacement are return so don't buy this products from flipkart.READ MORE,Don't waste your money
good service given by flipkart. and good product at awesome price.READ MORE,Wonderful
Very fast delivery of the product with proper   and safe packing before expected time but delivery boy didn't approach us at home . Usually we have to pick the product from exact described location told by the delivery boy.READ MORE,Terrific
"Third class phone, cheap Chinese material , three times given to service centre , overheated every time, using it un fear of blast worst model from samsungREAD MORE",Worst phone ever purchased
Deliverd very fastREAD MORE,Good quality product
Worst product and worst service from flipkartREAD MORE,Worst service by Flipkart
Very dissapointed Hy guys please dont trust flipkart blindly initialy  i was also having trust on flipkart but now i faced the issue actually i ordered redmi note4 they deducted amount from my account but ordered was not confirmed order was not processed from their side and now ita been 8 days i am paying emi amount of that order BUT NO REFUND FROM THEIR SIDE whenever i am calling them they are saying we will process in next 72 hrs but till not i am very dissappointed with it dont know what t...READ MORE,Unsatisfactory
It is very worst to choos emi option as it not go through on flipkart and I had to make full payment to the bank . Apart from this there is no proper response given to me by flipkart on my quarry.READ MORE,Utterly Disappointed
"I ordered this phone on 16-2-2017 and after 2 days of use its heat so badly just after half hour use of whatsapp its reaches to 43 and complete one hour its reaches to 48 that is not normal and i have htc when i used my phne on chrging its only reaches 38 aftr use of 2 hour ..there is an app ATUTU TESTER to check phones heating it will help u to check ur phones temperature, now i filed replacment but service is poor in the name of replacemntREAD MORE",Biggest mistake of my life!
Delivery superfastREAD MORE,Great mobile
orders to gold but received other colore  f and g selarREAD MORE,orders to gold but received other colore  f and g selar
Nice service by flipkart n delhivery.READ MORE,Value-for-money
GOOD PACKING AND FAST DELIVERYREAD MORE,Perfect product!
Good service flipkart...keep it upREAD MORE,Perfect product!
Best service from flipkart..  fast as rajdhani express..READ MORE,Terrific
Reliable delivery and productREAD MORE,Wonderful
"flipkart not provide me the mobile no. of courier boy, due to this i spent a lot of time in waiting. all other services are good.READ MORE",Not recommended at all
Good and very fast deliveryREAD MORE,Fabulous!
Thanks.its real and short time delivery.READ MORE,Pretty good
Phone is good but promised date missed and worst delivery services.READ MORE,Worst experience ever!
I won't head setREAD MORE,Not recommended at all
very good phone and delivery of flipkart is very fast. i love the phone a lot. phone feature is very good .in short every one should buy this.......READ MORE,nice phone
Delivered on timeREAD MORE,Wonderful
"After technician visit, Flipkart have update like issue has been resolved but as per technician they have checked with two sim card and network issue noticed, I have requested for return and now flipkart not ready to give the support to return the items.Even very poor communication and not getting the alart for the process - Going to avoid to use Flipkart anymore now and have cancelled the order(On Next 8) due to thisREAD MORE",Wroust support from Flipkart
"I got faulty piece, so I requested three times for replacement, but all time flipkart decline my request, now I am going to consumer court and   raise complain against flipkartREAD MORE",Best in the market!
Perfect piece....... Nice Experience...... Thanks to Flipkart & Samsung.....!!!READ MORE,Perfect product!
Service is Very Good.....but i m requesting u pls add column for writting sending wishes whom we want to send presents or gifts.READ MORE,Just wow!
Very good serviceREAD MORE,Excellent
Very  fast service  in flipcart.ThanksREAD MORE,Best in the market!
Good product thanks to flipkart to delivory my item very soon befor estimate delivery nice packingREAD MORE,Perfect product!
I am sharing a postive review honest review if you are thinking to buy this phone please dnt buy worst phone is this heating hanging occure on 3rd day and flipkart refused to replace phone and very poor service by flipkart..READ MORE,Not recommended at all
Dont dont dont shoping from flipkartREAD MORE,Useless product
"Nice phone in all terms..... excellent camera/no  hanging, heating issue simply super.Delivery also on time by FlipkartREAD MORE",Awesome
"Lost parcel ,No support from customer service team.Each day repeat sentences that they are working and will update in 24 Hours and it has been 30 days now.READ MORE","Flipkart Logistics Team ,Pathetic"
"Same problem is occurred with this handsetWhat can I do don't know again faulty samsung  handset is delivered to me by flipkart this is not fare this is last time when I go for online shopping, just hate to flipkart, n samsung product.READ MORE",Useless product
I like flipkart service.READ MORE,Terrific
Order received before time and in perfect conditionREAD MORE,Great product
Fast Delivery from flipkart.Nice Mobile.READ MORE,Superb delivery service.
Fast and good deliveryREAD MORE,Highly recommended
It's awesome service........thanks flipkartREAD MORE,Awesome
After using for 1 day I relies he battery drians faster on a simple game you play. With $G airtel is really bad and when turn on the WiFi it started heating and worst Flipkart refuse to replace one after another call for technical assurance. One say put sim in it someone call you another say remove sim someone call you and they wasted my time by putting one after another dadline This is last time  I came to flipkartREAD MORE,Issue with 4G and heating
Good serviceREAD MORE,Classy product
Good ServiceREAD MORE,Awesome
Very good service..READ MORE,Perfect product!
Product is goodFilpkart service is to much badAnd i like to service ranting is ( -5 star )READ MORE,Not recommended at all
Best Phone In This Prize Thank U FlipkartREAD MORE,Terrific purchase
thank you FlipkartREAD MORE,Nice product
Flipkart delivery very fastREAD MORE,Fabulous!
Samsung j5 is best Android phone thanks for FlipkartREAD MORE,Really Nice
Fast deliveryREAD MORE,Terrific
Curior facility is bad...message coming today like delivered tomorrow but not delivered before 2-3 days..READ MORE,Useless product
Nice service by flipkart .Nice mobile.READ MORE,Wonderful
Nice product but filipkart worong product company packing no sealREAD MORE,Very poor
perfect deliveryREAD MORE,Fabulous!
Excellent customer service by flip cart. Thank you so much.READ MORE,Simply awesome
Awesome phone delivery at time always good experience with flipkart.READ MORE,Terrific purchase
Nice serviceREAD MORE,Nice product
Friends Pls don't buy this phone overa heating problem signal problem battery problem so pls avoid this phone Samsung j5 2016READ MORE,very poor
Ekart office boy misbehaving not replying even for the answer.They all dont know how to response to customerREAD MORE,Horrible
Try to deliver the product in tier 3 cities as fast as u can..READ MORE,Suggestion
It was a gift for my father and he simply loves it Thanks Flipkart for the awesome price and timely deliveryREAD MORE,Brilliant product swift service
Great product by samsung and instant delivery by flipkart.READ MORE,Brilliant
Delivery was so fast and everything was fine..READ MORE,Perfect product!
Thank-you so muchREAD MORE,Wonderful
flipkart gave me a good product on timely delivery.Flipkart remains the customers problem.in a word i like flipkartREAD MORE,Good Product
Nyc service Fast delivery. Thank you flipkartREAD MORE,Perfect product!
Camera quality is poorREAD MORE,Horrible
Timely delivery and good productREAD MORE,Wonderful
Thanks to flipkartREAD MORE,Awesome
Very Good delivery sarvice..flipcart...... and thnks also..READ MORE,Terrific purchase
Fast deliveryREAD MORE,Great product
Great serviceREAD MORE,Perfect product!
Excellent service by Flipkart. Delivered within 2 days of booking. Secured packing system. Ptoduct wise also J5 suffics 6 is a very gud option for low budgeters. Excellent display and touch sensitivity is superv. Detail performance base review I will provide later on after exploring....Thank You...@.READ MORE,Just wow!
Good deliveryREAD MORE,Terrific purchase
sensor problem and conference call problemREAD MORE,it is good but some problem
Fast delivery n nic phone..READ MORE,Great product
Good service and good quality  no frod ws cellerREAD MORE,Good quality by ws celler
Delivery  speed of flipkart is nice..and product is also nice.READ MORE,Super!
I m sad due to after purchase mobile rate decrease.READ MORE,Does the job
its OTG Compatible... flipkart please update this featureREAD MORE,OTG Compatible
PHONE IS AWESOME..BUT DELIVERY TOO LATE...PLZ TRY TO IMPROVE UR DELIVERYREAD MORE,Good quality product
After using 2 days i gave a important reviewFirst of all an excellent delivery from flipkartNice packingNice productTaking very short timing for delivery Good behaviour of the delivery man------------Now about the phonePhone is very goodGiving a verygood battery backupMost important thing that there have a problem in Mi that i can not use the 2 sims and memory card  at a same time but in this it is posbl to useAftr tht good screen resolutionNice finishing Fast phoneSo many peopl...READ MORE,Perfect product!
nice job i like ur serviceREAD MORE,Wonderful
Very bad they do not fulfill their replacement warrantyREAD MORE,Very poor
Best but delevery is slowREAD MORE,Pretty good
Phone is missing this product please help .READ MORE,Unsatisfactory
It is good service and fast deliveryREAD MORE,Super!
Requested for replace...but no actionREAD MORE,Terrible product
Flp kart one off worst companyREAD MORE,Worthless
"After already complaint twice in instrument speaker, no return taken and no any response.READ MORE",Don't waste your money
I returned  this phone due to same problem on 9th January 2017 but till today my refund is not credit in my account. And i mail to flipkart or my bank many time but not heling both. And many  time i call both coustomer care.Friends  refund is very hard from flipkart.READ MORE,Terrific purchase
.i buy samsung j5.Bill not get on gmail. Bad experienceREAD MORE,Worst experience ever!
Superb phone....good delivery by flipkartREAD MORE,Highly recommended
Good serviceREAD MORE,Best
delivery is very poor otherwise mobile is bestREAD MORE,Super!
MastREAD MORE,Super!
Instead of buying any other Chinese make in similar range one should buy this....!!!!!!!!!READ MORE,Worth It...!!!
খুব ভাল।READ MORE,Mind-blowing purchase
High priceREAD MORE,Met Expectations
Gud experience with flipcartREAD MORE,Perfect product!
Acha hai but 2gb ram.READ MORE,Pretty good
Good serviceREAD MORE,Wonderful
I m happy flipkart servises is very fast and my product very safeREAD MORE,Very Good
This phone is very good.But Bluedarts courier service is very dissapointingREAD MORE,Nice
cheap service and fraud shoppingREAD MORE,Horrible
Superb phone..Ontime delivery...Thank you FlipkartREAD MORE,Awesome
Good serviceREAD MORE,Best in the market!
Acha haiREAD MORE,Don't waste your money
MastREAD MORE,Worth every penny
Good priceREAD MORE,Awesome
"on time delivery by flipkartMobile is superb in this price rangeVery happy after unboxing it,Too easy to handle..yuppy...READ MORE",just got j5 6
Bad producd deliveredREAD MORE,Biggest mistake of my life!
Nice product & Quick deliveryREAD MORE,Value-for-money
After 5 month of use i am writing a review.Phone is working nicely.good battery backup.Nice metal deaign.No hanging issue.Good sounds. good camera picture quality.Good display.Slim design.But ....Phone are getting heat when i used operamax application.this app compress data usage.but when i disabled this data compression.app phone is not heated. So nice buying from flipkart.I highly recommend this phone.READ MORE,Pretty good
Thanks to Flipkart who delivered it within stipulated time with excellent packing. The phone is nice having a good battery back up. In short a Nice phone .READ MORE,Nice product
Nice mobile..satisfied with the product...but took very long to deliver....READ MORE,Very Good
Thanku flipcartREAD MORE,Best in the market!
Thanks youREAD MORE,Met Expectations
Very bad qualityREAD MORE,Biggest mistake of my life!
Fast delivery Everything is better Thanks flipcartREAD MORE,Very Good
Superb phone . . .Thanks to flipkart go for it.  . . . .NarenREAD MORE,Super!
"I was luking a nice phone wid perfect fit in da hand and surely Samsung Galaxy J5 (2016 Edition) meets my expectation. It's  easy to operate by a single hand. I'm already owned an iPhone 6s which can operate easily and comes under grip.....and yaar flipkart, thanx for your service....READ MORE",Good choice
Phone is good...but delivery is delay..too badREAD MORE,Worst experience ever!
Ok very good service of filipkart timely delivered to our mobile phoneREAD MORE,Awesome
Very Much Poor service on Flipkart. Got a Damaged Product and they are not at all ready to give a refund of the gadget. Later after a 20 Days time. After a lot of talk between me and Flipkart Technical Assistance they finally approved for a replacement. Worthless experience with FlipkartREAD MORE,Utterly Disappointed
Awesome product & perfect  on time deliverREAD MORE,Good quality product
MastREAD MORE,Very good
Fast deliveryREAD MORE,Awesome
Happy with this...very fast delivery within 1 and half day .thank uREAD MORE,Simply awesome
Good for value.....fast delivery...READ MORE,Excellent
Poor service and compliance by Flipkart. Order placed by me. Amount deducted from account. After 3 days order cancelled from Flipkart side. Reason was that delivery is not available on Bhopal location (Capital of MP). Actual reason was different which was not shown by Flipkart.READ MORE,Very poor
Very nice serviceREAD MORE,Delightful
"After few days , I face battary issue and call sound clarity not good . Cheated product . Sorry flipkartREAD MORE",Unsatisfactory
please dont purchase any products from flipcart company... they are fraud and cheat to customer... products is very bad... service of the flipcart is also very very bad...fortunately i was parching products on flipcart.. and till now i am suffering badly with full frustration.. i purchased samsung edge 6 from flipcart just 2-3 week ago... then phone get start the problem.. that time i want replace the phone not money.. and i was discussed with customer care to my problem.. but company and m...READ MORE,very bad service...
Deliver in Three day.Nice mobile .got it at Rs 11990.00READ MORE,Worth every penny
Flipkart is just great and best online place for purchase.Smooth and fastest delivery experianced.Keep it up Flipkart.READ MORE,Mind-blowing purchase
Bakwas thora sa use karte hi mobile garam ho jata haiREAD MORE,Not good
Fast delivery  flipkart thxREAD MORE,Highly recommended
Delivery is faster than what we expected Good serviceREAD MORE,Wonderful
Good service flipkart and phone very goodREAD MORE,Terrific purchase
Kya mast product he samsung galaxy j5 6 and flipkart is india best online shopping siteREAD MORE,Just wow!
Not goodREAD MORE,Don't waste your money
Very good mobile and good Flipkart servicesREAD MORE,Super!
"First of all... Delivery is very fast ordered on sunday 18 Dec 2 pm and delivered on Monday 19 Dec at approx 5.00 pm, product is good, good battery backup, good front camera no lag, best product in this rangeREAD MORE",Samsung Galaxy J5 (6) 2016- New Edition
"Delay delivery , unprofessional behaviour of delivery personREAD MORE",Not recommended at all
Good phone good service!!READ MORE,Simply awesome
Order cancelled by seller 6 times. I was unable to order the productREAD MORE,Waste of money!
"Great ,very fast delivery by flipkartREAD MORE",Must buy!
Great packing and very fast delivery Best price of all products if compare other online shopping sitesREAD MORE,Fabulous!
Samsung phone always superb & Flipkart service also goodREAD MORE,Pretty good
Received J5 (2016) in a sealed packet with original  packet of Samsung J5 (16) tucked inside. The mobile and accessories are found as per product description in Flipkart and working fine as on date. I must thank Flipkart for the prompt delivery i.e. 3 days from the date of order . Excellent service and prompt delivery by the Courier service. Overall a wonderful experience. Cheers....READ MORE,Prompt delivery by Flipkart
good product and timely deliveryREAD MORE,Decent product
I got my phone delivered yesterday. I am not facing any issue till now. Very good product by samsung and also fast delivery by flipkart.READ MORE,nice product
Awesome... thanks flipkart..READ MORE,Fabulous!
Bakwas return policyREAD MORE,Very poor
FLIPKART SOLD A FAKE PRODUCT TO ME. DISPLAY GOT BROKEN WITHIN FIVE MONTHS.NO WARRANTY COVERED BY SAMSUNG. HAVE TO PAY 5500 FOR DISPLAY ? GO TO HELL I AM THROWING AWAY THE PHONE. NO MORE FROM FLIPKART AND SAMSUNG!READ MORE,FAKE
Great phone.....delivery timing is awesome.... satisfiedREAD MORE,Highly recommended
Better option at this price. Very happy with product & flipkart service.READ MORE,Pretty good
Flipkart has delivered the worst product. When asked for the return option they are least bothered to listen to the customer's problem.READ MORE,Deleivered the worst product
Superb ph Thanks flipcart for fast n perfect delivery  of the productSuperb camera qualityI have taken it on 2nd dec 2016Working wellSamsung best a global brandGood battery backupLove itREAD MORE,Perfect product!
Super fast delivery....flipkart u always rocks..n awesome phone for this range....READ MORE,Very Good
Excellent product. timely deliveryREAD MORE,Just wow!
#NAME?,Must buy!
Nice product in a sufficient price.so fast service flipkart thanks flipkartREAD MORE,Fabulous!
Product is too good... Fastest delivery by non other than Flipkart... Thank you again...READ MORE,Simply awesome
Excilent delivery received on timeREAD MORE,Terrific purchase
Assam product and flip kart is that best way for shoppingREAD MORE,Just wow!
Not good survive by plipcart folty pc givenREAD MORE,Slightly disappointed
Quick delivery by FlipkartREAD MORE,Great product
"flipkart waste return policy compare to amazon. amazon is far better from flipkart. alwys provided defective product. if we requested for replacement then they will say there lots of process.technical team who are visit to check the item,they also dont have that much knowledge on mobile. flipkart hiring employee in less salary. who have no degrees. flipkart have to improve there return policy and have to work on there technical team. or else arrange some technical KT for there team..try to le...READ MORE",flipkart waste return policy
Thanks FlipkartREAD MORE,Super!
"M impressed before delivery, product is good thnxx flipkart.READ MORE",Value-for-money
I m glad I ordered Samsung j5 6. It's superb. Reasonable price. Plus it was delivered safely. And I love itREAD MORE,Just wow!
Best servicesREAD MORE,Excellent
Very fast delivery and best lowest price in this flipkart. We wants more offer..... J5 2016 is a best mobileREAD MORE,Delightful
AlwaysHome delivery of flipkart is very bad.READ MORE,Bad quality
Delivery speed is very fast. ThanksREAD MORE,Super!
Thanks FlipkartREAD MORE,Mind-blowing purchase
WorstREAD MORE,Worst experience ever!
Ei pelam. Dekhi tar porREAD MORE,Worth the money
Simply Awesome !! Fast delivery by FLIPKART. Thanks a lot !!READ MORE,Worth every penny
best & fast delivery app in gujaratREAD MORE,Mind-blowing purchase
Nice service and mobile too.READ MORE,Super!
Super fast deliveryREAD MORE,Great product
Thanks Flipkart for fast delivery.. secondly mobile is also very good..I love this mobileREAD MORE,Classy product
सर्व्हिस एकदम वाईट......................READ MORE,Hated it!
"Flipkart is great delivery on time,this is my first order on flipkartgreat phone on best price.READ MORE",Simply awesome
Good deliveryREAD MORE,Worth every penny
Good next day deliveredREAD MORE,Simply awesome
Darun phone.....Kono hang hoina.3100 mah battery..eta Ekta BeastCamera r superBREAD MORE,Terrific
Don't buy. Proximity sensor problem even every samsung j5 2016 on Flipkart.READ MORE,Terrible product
valuable serviceREAD MORE,Fabulous!
Awesome DeliveyREAD MORE,Good choice
Super fast delivery.... best in classREAD MORE,Must buy!
Next day delivery.. awesome mobile....READ MORE,Terrific
Received in good condition and before time..READ MORE,Awesome
"The delivery agent/person is too irritated to me for deliver this product, if customer have their own work then he should prefer some other time.But this deliver person is not responding properly. In Indian online marketing Flipkart have good image, such a person's damages that good will. I can't say more about that irresponsible person.......READ MORE",Bad quality
I don't  found samsung j5 other websites.......Flipkart give me it 7 days......Thnks flipkart and its whole teamREAD MORE,Mind-blowing purchase
Nice deliveryREAD MORE,Good choice
"Nice product , thanks flipkart.READ MORE",Perfect product!
This is very fast delivering website.READ MORE,Highly recommended
Thx flpcrtREAD MORE,Best in the market!
Outstanding service of flipkart.READ MORE,Must buy!
Motherboard broblemREAD MORE,Absolute rubbish!
best serviceREAD MORE,Fabulous!
Very fast delivery in delhiREAD MORE,Excellent
Flipcart bahut hi vishvashniya application hai online shhoping ke liyeREAD MORE,Classy product
Nambi sangalam.....vedikathu ??READ MORE,Mind-blowing purchase
"Flipkart provides worst Service to his customers. And this mobile is having hanging issue from the very first day. I requested  for return. But Flipkart executives  did not support or solve my mobile issue. And after 10 days. There is no option for replacement. I request you all please don't but buy any product from Flipkart, because  they don't even Care about Customer satisfaction.READ MORE",Don't waste your money
Thank you flipkat......3days delivery  My phone thanks thanks Flipkat......very good Mobile phones wasom camera back&front.....READ MORE,Value-for-money
Awesome serviceREAD MORE,Great product
Samsung Nam hi khafi hai ...what a nice phone .wow I'm so happy..READ MORE,Best in the market!
the delhivery seller provide the poor quality of service to the costumerREAD MORE,bad quality of service by the seller
Thank you for such a quick delivery.READ MORE,Just wow!
It's a nice phone. Thanks to the Flipkart for it's delivery on date.READ MORE,Good quality product
Everything is perfect but s bike mode sticker is missing.....where is my s bike mode sticker?READ MORE,Greatttttttttttttttttt
Nice product afte replacement...In first thanks to flipkart services... Flipkart is best and trusted..READ MORE,Worth every penny
Wery naic phone thenks flipkartREAD MORE,Super!
Gudd service !!!!!READ MORE,Worth the money
"Delivery on time ,good experienceREAD MORE",Delightful
Camera bakwasREAD MORE,Overpriced
Excellent packing from Flipkart & fast delivery... Mobile is also goodREAD MORE,Nice product
Mere phone me battery back up ki probelam aa  rahi h 3 se 4 hours hi chal pati h aur Flipkart Wale replacement bhi nhi karte bahut bahane karte h ki technical visit karenge Lekin technician nhi aata aur Apne aap cancel ho jati h bhai bhul ke bhi mat lena.READ MORE,Horrible
Good mobile and awesome delivery by flipkart. Happy to use this mobileREAD MORE,Nice product
Nice quick delivery safe and sequre payment methodREAD MORE,Classy product
Fantastic service and products... Love to shopping on flipkart...READ MORE,Terrific
Phone to mast he par ye phone kabhi kabhi heat karta he.READ MORE,Best in the market!
paisa vasoolREAD MORE,Perfect product!
Very bad phone .. and not buy from flipkart because service center not provided service as wellREAD MORE,Worst experience ever!
Finally got this phone replaced... a very tough replacement process...This was my last order from flipkart...READ MORE,Worthless
Please send me my j52016 bill.i need a bill for warranty.READ MORE,Terrific purchase
Service is goodREAD MORE,Very Good
Delivery is on timeREAD MORE,Terrific
A bad product from Samsung. Too much hanging and slo mobile in this price range.READ MORE,Waste of money!
"I had ordered the phone in the big billion sale. The product delivered was defective. It hangs a lot along with problem regarding opening of certain apps by itself. As per return policy we requested for replacement within 10 days but the response of the flipkart customer care was that ""the phone normally hangs, it is no big issue"". They excused themselves from the liability to replace the prouct by saying that the seller does not have the stock of the same. They suggested us to contact the se...READ MORE","Defected product ,bad return policy."
Bahut he acha phone hai is ka jo design hai usse mein ladkiya flate ho jaye ge ise phone mein ..... Aur Kya bataye ek baar use kar k deakheREAD MORE,Great product
Me ye soch raha hu ki koi bhi dress material dene se accha uska naap add karke dene per uska silai  Karke  bheja jaye aur vo chij not return and refundable ho but silai proper naap ke hisab hi honi cchaliye.ThanksREAD MORE,Nice product
mast phone haiREAD MORE,very good
Very good mobile and Flipkart service so good thank u flipkartREAD MORE,Awesome
Thanks Flipkart 4 the same day delivery in bangalore.!That was realy awsome.!!READ MORE,Must buy!
Gazabbbb ka phone hai. I m so happy with this.READ MORE,Great product
mobile is excellent but backcover &tuffn glass is not available. So please. Help me outREAD MORE,Terrific purchase
Thanks for delivery 1 day flipcard and good battery life j5 2016 no hanging problems verry nice picsREAD MORE,Must buy!
Don't buy from this seller. I have received a China charger and USB cable. And there are so many scratches on screen. And the mobile also not working good. Bhekar mobile and seller.READ MORE,Utterly Disappointed
Very nice experience with flipkartREAD MORE,Excellent
First delivery ..  I liked flipkartREAD MORE,Wonderful
Took 7 days to reach buyer...READ MORE,Delightful
Nice service good productREAD MORE,Very good
Ok Ki ReportREAD MORE,Terrific
Thanx to flipkart who deliverd with in 2 daysREAD MORE,Very Good
Great service provided by flipkart during purchasing Samsung galaxy j5 2016READ MORE,Terrific
Awesome  fone n service  as well bole to ek noREAD MORE,Perfect product!
Samsung... Super Amoled Display Naam hi kafi hai..... Nice phoneREAD MORE,Pretty good
Thanks flipkart to delivered this mobile with 3 days. Very good product as camera is very clear and handling so easy.READ MORE,Best Smartphone by Samsung
Delivery of Flipkart was great.. looks good n works well tooREAD MORE,Thanks to Flipkart delivery
ThanksREAD MORE,Perfect product!
Total waste of effort at Flipkart. Worst product worst service by flipkartREAD MORE,Terrible product
Delivered hone me late lga but acha hREAD MORE,Wonderful
"Please DO NOT buy any product in FLIPKART..I opted for no cost EMI but Bank charged 14% interest on my product. I contacted bank and they were telling we(bank) don't do these kind of things, may be the seller has given wrong information and I contacted FLIPKART they were telling there was some miss communication between bank and us and they won't repay my interest amount. Again Please DO NOT buy any product in FLIPKARTREAD MORE",Terrible product
Awsme service by flipkart aesme phone only battery is bit low on wat cmpany claimsREAD MORE,Wonderful
Wait long time for this order....READ MORE,Good but nothing fancy
"Great phone at a good price.... .love the screen, build quality. Thanks Bajaj Finserv n FlipkartREAD MORE",Value-for-money
The delivery was in timeREAD MORE,Terrific purchase
Great serviceREAD MORE,Super!
All is well .... except Late Delivery.....READ MORE,Could be way better
Blu dirt Courier service is very  bad.READ MORE,Faced minor issues
I am felling bad  shopping with flipkartREAD MORE,Hated it!
I think samsungs quality is truly deteriorating. First of all screen started showing black dot and they replaced it. now phone started getting hung too. I need replacement from samsung.READ MORE,Did not meet expectations
Very bad deliveryREAD MORE,Pretty good
Superb excellent quality mobile.Excellent delivery by Flipcart.Thanks to Flipcart.READ MORE,Mind-blowing purchase
I receive my mobile on 10 October till date I am not receive invoice copyREAD MORE,Good quality product
very fast delivery as exceptedREAD MORE,Wonderful
This phone is toooo good for another phone and flipkart service is alsooo too good....READ MORE,Very niceeeeeee
Product achha he lekin delivery so lateREAD MORE,Biggest mistake of my life!
Bole to zakasREAD MORE,Perfect product!
Gazaab ka product with best price....READ MORE,Worth every penny
Great product and fast delevery and good    return timingREAD MORE,Highly recommended
The phone is zhakaas but it heats up alotREAD MORE,Expected a better product
Fast delivery and safety.READ MORE,Really Nice
Product is very good  at its price range. Flipcart service is also good.  Got the ordered items before estimated time.READ MORE,Excellent
I brought this phone for my wife i live in out side india after i ordered this product i waited for a month to reach my contry finally once i recive and i found that only indian sim cards i got shocked.Y flipcart hasn't mentioned in the specificatoins that its supports only indian sim cards?READ MORE,its not accesing foriegn net works
Good deliveryREAD MORE,Delightful
VERY  GOOD  SERVICE  THANKS  FLIPKARTREAD MORE,Mind-blowing purchase
The person who delivers didn't deliver at my house he wanted me to come someother placeREAD MORE,Not good agents
Darun ph. Sab dik valoREAD MORE,Value-for-money
On time delivery.... nd grate phoneREAD MORE,Perfect product!
Please replareplacement the product Samsung j5.Heavy heat problemREAD MORE,Not good
Nice deal and fast delivery service. I am fully satisfied with product and flipkart .READ MORE,Awesome
Very good product and fast delivery but hit problemREAD MORE,Highly recommended
Very good service flip cartREAD MORE,Awesome
My review for the flipkart delivery and the cell phone condition.1. Quick and fast delivery within 2days of order.2. Cell phone is packed properly and its in very good condition.Will put my review on the cell after using it for few daysREAD MORE,Awesome
